Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered
21/01/2021,Uttar Pradesh,22644.0,0.0,22644.0
21/01/2021,Uttarakhand,8206.0,0.0,8206.0
21/01/2021,West Bengal,53988.0,0.0,53988.0
21/01/2021,Miscellaneous,32297.0,0.0,32297.0
21/01/2021,Total,1043534.0,0.0,1043534.0
22/01/2021,Andaman and Nicobar Islands,1466.0,0.0,1466.0
22/01/2021,Andhra Pradesh,133298.0,0.0,133298.0
22/01/2021,Arunachal Pradesh,5956.0,0.0,5956.0
22/01/2021,Assam,13881.0,0.0,13881.0
22/01/2021,Bihar,63620.0,0.0,63620.0
22/01/2021,Chandigarh,1157.0,0.0,1157.0
22/01/2021,Chhattisgarh,22259.0,0.0,22259.0
22/01/2021,Dadra and Nagar Haveli and Daman and Diu,356.0,0.0,356.0
22/01/2021,Delhi,18844.0,0.0,18844.0
22/01/2021,Goa,946.0,0.0,946.0
22/01/2021,Gujarat,46150.0,0.0,46150.0
22/01/2021,Haryana,62142.0,0.0,62142.0
22/01/2021,Himachal Pradesh,9609.0,0.0,9609.0
22/01/2021,Jammu and Kashmir,9827.0,0.0,9827.0
22/01/2021,Jharkhand,14806.0,0.0,14806.0
22/01/2021,Karnataka,184699.0,0.0,184699.0
22/01/2021,Kerala,47293.0,0.0,47293.0
22/01/2021,Ladakh,401.0,0.0,401.0
22/01/2021,Lakshadweep,552.0,0.0,552.0
22/01/2021,Madhya Pradesh,38278.0,0.0,38278.0
22/01/2021,Maharashtra,74960.0,0.0,74960.0
22/01/2021,Manipur,1923.0,0.0,1923.0
22/01/2021,Meghalaya,2078.0,0.0,2078.0
22/01/2021,Mizoram,3657.0,0.0,3657.0
22/01/2021,Nagaland,3443.0,0.0,3443.0
22/01/2021,Odisha,130007.0,0.0,130007.0
22/01/2021,Puducherry,1097.0,0.0,1097.0
22/01/2021,Punjab,21340.0,0.0,21340.0
22/01/2021,Rajasthan,43947.0,0.0,43947.0
22/01/2021,Sikkim,960.0,0.0,960.0
22/01/2021,Tamil Nadu,51651.0,0.0,51651.0
22/01/2021,Telangana,110031.0,0.0,110031.0
22/01/2021,Tripura,14252.0,0.0,14252.0
22/01/2021,Uttar Pradesh,123761.0,0.0,123761.0
22/01/2021,Uttarakhand,10514.0,0.0,10514.0
22/01/2021,West Bengal,84505.0,0.0,84505.0
22/01/2021,Miscellaneous,36926.0,0.0,36926.0
22/01/2021,Total,1390592.0,0.0,1390592.0
23/01/2021,Andaman and Nicobar Islands,1998.0,0.0,1998.0
23/01/2021,Andhra Pradesh,147030.0,0.0,147030.0
23/01/2021,Arunachal Pradesh,6511.0,0.0,6511.0
23/01/2021,Assam,13881.0,0.0,13881.0
23/01/2021,Bihar,76125.0,0.0,76125.0
23/01/2021,Chandigarh,1502.0,0.0,1502.0
23/01/2021,Chhattisgarh,28732.0,0.0,28732.0
23/01/2021,Dadra and Nagar Haveli and Daman and Diu,628.0,0.0,628.0
23/01/2021,Delhi,25811.0,0.0,25811.0
23/01/2021,Goa,1561.0,0.0,1561.0
23/01/2021,Gujarat,78466.0,0.0,78466.0
23/01/2021,Haryana,71297.0,0.0,71297.0
23/01/2021,Himachal Pradesh,13544.0,0.0,13544.0
23/01/2021,Jammu and Kashmir,11647.0,0.0,11647.0
23/01/2021,Jharkhand,14806.0,0.0,14806.0
23/01/2021,Karnataka,188971.0,0.0,188971.0
23/01/2021,Kerala,53529.0,0.0,53529.0
23/01/2021,Ladakh,558.0,0.0,558.0
23/01/2021,Lakshadweep,633.0,0.0,633.0
23/01/2021,Madhya Pradesh,38278.0,0.0,38278.0
23/01/2021,Maharashtra,99885.0,0.0,99885.0
23/01/2021,Manipur,2319.0,0.0,2319.0
23/01/2021,Meghalaya,2236.0,0.0,2236.0
23/01/2021,Mizoram,3979.0,0.0,3979.0
23/01/2021,Nagaland,3443.0,0.0,3443.0
23/01/2021,Odisha,152371.0,0.0,152371.0
23/01/2021,Puducherry,1478.0,0.0,1478.0
23/01/2021,Punjab,30319.0,0.0,30319.0
23/01/2021,Rajasthan,67270.0,0.0,67270.0
23/01/2021,Sikkim,960.0,0.0,960.0
23/01/2021,Tamil Nadu,59226.0,0.0,59226.0
23/01/2021,Telangana,110031.0,0.0,110031.0
23/01/2021,Tripura,14252.0,0.0,14252.0
23/01/2021,Uttar Pradesh,123761.0,0.0,123761.0
23/01/2021,Uttarakhand,10514.0,0.0,10514.0
23/01/2021,West Bengal,84505.0,0.0,84505.0
23/01/2021,Miscellaneous,40144.0,0.0,40144.0
23/01/2021,Total,1582201.0,0.0,1582201.0
24/01/2021,Andaman and Nicobar Islands,2019.0,0.0,2019.0
24/01/2021,Andhra Pradesh,147030.0,0.0,147030.0
24/01/2021,Arunachal Pradesh,6511.0,0.0,6511.0
24/01/2021,Assam,13881.0,0.0,13881.0
24/01/2021,Bihar,76125.0,0.0,76125.0
24/01/2021,Chandigarh,1502.0,0.0,1502.0
24/01/2021,Chhattisgarh,28732.0,0.0,28732.0
24/01/2021,Dadra and Nagar Haveli and Daman and Diu,628.0,0.0,628.0
24/01/2021,Delhi,25811.0,0.0,25811.0
24/01/2021,Goa,1561.0,0.0,1561.0
24/01/2021,Gujarat,78466.0,0.0,78466.0
24/01/2021,Haryana,72204.0,0.0,72204.0
24/01/2021,Himachal Pradesh,13544.0,0.0,13544.0
24/01/2021,Jammu and Kashmir,11647.0,0.0,11647.0
24/01/2021,Jharkhand,14806.0,0.0,14806.0
24/01/2021,Karnataka,191449.0,0.0,191449.0
24/01/2021,Kerala,53529.0,0.0,53529.0
24/01/2021,Ladakh,558.0,0.0,558.0
24/01/2021,Lakshadweep,633.0,0.0,633.0
24/01/2021,Madhya Pradesh,38278.0,0.0,38278.0
24/01/2021,Maharashtra,99885.0,0.0,99885.0
24/01/2021,Manipur,2319.0,0.0,2319.0
24/01/2021,Meghalaya,2236.0,0.0,2236.0
24/01/2021,Mizoram,3979.0,0.0,3979.0
24/01/2021,Nagaland,3443.0,0.0,3443.0
24/01/2021,Odisha,152371.0,0.0,152371.0
24/01/2021,Puducherry,1478.0,0.0,1478.0
24/01/2021,Punjab,31327.0,0.0,31327.0
24/01/2021,Rajasthan,93525.0,0.0,93525.0
24/01/2021,Sikkim,960.0,0.0,960.0
24/01/2021,Tamil Nadu,61720.0,0.0,61720.0
24/01/2021,Telangana,110031.0,0.0,110031.0
24/01/2021,Tripura,14252.0,0.0,14252.0
24/01/2021,Uttar Pradesh,123761.0,0.0,123761.0
24/01/2021,Uttarakhand,10514.0,0.0,10514.0
24/01/2021,West Bengal,84505.0,0.0,84505.0
24/01/2021,Miscellaneous,40284.0,0.0,40284.0
24/01/2021,Total,1615504.0,0.0,1615504.0
25/01/2021,Andaman and Nicobar Islands,2369.0,0.0,2369.0
25/01/2021,Andhra Pradesh,156120.0,0.0,156120.0
25/01/2021,Arunachal Pradesh,7307.0,0.0,7307.0
25/01/2021,Assam,19837.0,0.0,19837.0
25/01/2021,Bihar,88450.0,0.0,88450.0
25/01/2021,Chandigarh,1928.0,0.0,1928.0
25/01/2021,Chhattisgarh,40025.0,0.0,40025.0
25/01/2021,Dadra and Nagar Haveli and Daman and Diu,665.0,0.0,665.0
25/01/2021,Delhi,33219.0,0.0,33219.0
25/01/2021,Goa,1796.0,0.0,1796.0
25/01/2021,Gujarat,91927.0,0.0,91927.0
25/01/2021,Haryana,105419.0,0.0,105419.0
25/01/2021,Himachal Pradesh,13544.0,0.0,13544.0
25/01/2021,Jammu and Kashmir,16173.0,0.0,16173.0
25/01/2021,Jharkhand,18413.0,0.0,18413.0
25/01/2021,Karnataka,231172.0,0.0,231172.0
25/01/2021,Kerala,71973.0,0.0,71973.0
25/01/2021,Ladakh,670.0,0.0,670.0
25/01/2021,Lakshadweep,676.0,0.0,676.0
25/01/2021,Madhya Pradesh,67083.0,0.0,67083.0
25/01/2021,Maharashtra,136901.0,0.0,136901.0
25/01/2021,Manipur,2485.0,0.0,2485.0
25/01/2021,Meghalaya,2748.0,0.0,2748.0
25/01/2021,Mizoram,4852.0,0.0,4852.0
25/01/2021,Nagaland,3675.0,0.0,3675.0
25/01/2021,Odisha,177090.0,0.0,177090.0
25/01/2021,Puducherry,1813.0,0.0,1813.0
25/01/2021,Punjab,39418.0,0.0,39418.0
25/01/2021,Rajasthan,161116.0,0.0,161116.0
25/01/2021,Sikkim,1047.0,0.0,1047.0
25/01/2021,Tamil Nadu,69027.0,0.0,69027.0
25/01/2021,Telangana,130390.0,0.0,130390.0
25/01/2021,Tripura,19698.0,0.0,19698.0
25/01/2021,Uttar Pradesh,123761.0,0.0,123761.0
25/01/2021,Uttarakhand,14546.0,0.0,14546.0
25/01/2021,West Bengal,122851.0,0.0,122851.0
25/01/2021,Miscellaneous,43625.0,0.0,43625.0
25/01/2021,Total,2023809.0,0.0,2023809.0
26/01/2021,Andaman and Nicobar Islands,2369.0,0.0,2369.0
26/01/2021,Andhra Pradesh,156129.0,0.0,156129.0
26/01/2021,Arunachal Pradesh,7307.0,0.0,7307.0
26/01/2021,Assam,19837.0,0.0,19837.0
26/01/2021,Bihar,88450.0,0.0,88450.0
26/01/2021,Chandigarh,1928.0,0.0,1928.0
26/01/2021,Chhattisgarh,40025.0,0.0,40025.0
26/01/2021,Dadra and Nagar Haveli and Daman and Diu,665.0,0.0,665.0
26/01/2021,Delhi,33219.0,0.0,33219.0
26/01/2021,Goa,1796.0,0.0,1796.0
26/01/2021,Gujarat,91927.0,0.0,91927.0
26/01/2021,Haryana,105419.0,0.0,105419.0
26/01/2021,Himachal Pradesh,13544.0,0.0,13544.0
26/01/2021,Jammu and Kashmir,16173.0,0.0,16173.0
26/01/2021,Jharkhand,18413.0,0.0,18413.0
26/01/2021,Karnataka,231607.0,0.0,231607.0
26/01/2021,Kerala,71973.0,0.0,71973.0
26/01/2021,Ladakh,670.0,0.0,670.0
26/01/2021,Lakshadweep,676.0,0.0,676.0
26/01/2021,Madhya Pradesh,67083.0,0.0,67083.0
26/01/2021,Maharashtra,136901.0,0.0,136901.0
26/01/2021,Manipur,2485.0,0.0,2485.0
26/01/2021,Meghalaya,2748.0,0.0,2748.0
26/01/2021,Mizoram,4852.0,0.0,4852.0
26/01/2021,Nagaland,3675.0,0.0,3675.0
26/01/2021,Odisha,177090.0,0.0,177090.0
26/01/2021,Puducherry,1813.0,0.0,1813.0
26/01/2021,Punjab,39418.0,0.0,39418.0
26/01/2021,Rajasthan,161332.0,0.0,161332.0
26/01/2021,Sikkim,1047.0,0.0,1047.0
26/01/2021,Tamil Nadu,73953.0,0.0,73953.0
26/01/2021,Telangana,130425.0,0.0,130425.0
26/01/2021,Tripura,19698.0,0.0,19698.0
26/01/2021,Uttar Pradesh,123761.0,0.0,123761.0
26/01/2021,Uttarakhand,14546.0,0.0,14546.0
26/01/2021,West Bengal,122851.0,0.0,122851.0
26/01/2021,Miscellaneous,43675.0,0.0,43675.0
26/01/2021,Total,2029480.0,0.0,2029480.0
27/01/2021,Andaman and Nicobar Islands,2385.0,0.0,2385.0
27/01/2021,Andhra Pradesh,163727.0,0.0,163727.0
27/01/2021,Arunachal Pradesh,7307.0,0.0,7307.0
27/01/2021,Assam,19945.0,0.0,19945.0
27/01/2021,Bihar,89074.0,0.0,89074.0
27/01/2021,Chandigarh,2355.0,0.0,2355.0
27/01/2021,Chhattisgarh,51647.0,0.0,51647.0
27/01/2021,Dadra and Nagar Haveli and Daman and Diu,665.0,0.0,665.0
27/01/2021,Delhi,39764.0,0.0,39764.0
27/01/2021,Goa,2311.0,0.0,2311.0
27/01/2021,Gujarat,94524.0,0.0,94524.0
27/01/2021,Haryana,109782.0,0.0,109782.0
27/01/2021,Himachal Pradesh,14054.0,0.0,14054.0
27/01/2021,Jammu and Kashmir,16331.0,0.0,16331.0
27/01/2021,Jharkhand,24020.0,0.0,24020.0
27/01/2021,Karnataka,267811.0,0.0,267811.0
27/01/2021,Kerala,82970.0,0.0,82970.0
27/01/2021,Ladakh,818.0,0.0,818.0
27/01/2021,Lakshadweep,746.0,0.0,746.0
27/01/2021,Madhya Pradesh,131679.0,0.0,131679.0
27/01/2021,Maharashtra,179509.0,0.0,179509.0
27/01/2021,Manipur,2855.0,0.0,2855.0
27/01/2021,Meghalaya,3249.0,0.0,3249.0
27/01/2021,Mizoram,6142.0,0.0,6142.0
27/01/2021,Nagaland,3973.0,0.0,3973.0
27/01/2021,Odisha,178227.0,0.0,178227.0
27/01/2021,Puducherry,1813.0,0.0,1813.0
27/01/2021,Punjab,44708.0,0.0,44708.0
27/01/2021,Rajasthan,237137.0,0.0,237137.0
27/01/2021,Sikkim,1320.0,0.0,1320.0
27/01/2021,Tamil Nadu,82039.0,0.0,82039.0
27/01/2021,Telangana,130425.0,0.0,130425.0
27/01/2021,Tripura,19698.0,0.0,19698.0
27/01/2021,Uttar Pradesh,123761.0,0.0,123761.0
27/01/2021,Uttarakhand,14690.0,0.0,14690.0
27/01/2021,West Bengal,158193.0,0.0,158193.0
27/01/2021,Miscellaneous,46325.0,0.0,46325.0
27/01/2021,Total,2355979.0,0.0,2355979.0
28/01/2021,Andaman and Nicobar Islands,2656.0,0.0,2656.0
28/01/2021,Andhra Pradesh,171683.0,0.0,171683.0
28/01/2021,Arunachal Pradesh,8656.0,0.0,8656.0
28/01/2021,Assam,28918.0,0.0,28918.0
28/01/2021,Bihar,107174.0,0.0,107174.0
28/01/2021,Chandigarh,2764.0,0.0,2764.0
28/01/2021,Chhattisgarh,62115.0,0.0,62115.0
28/01/2021,Dadra and Nagar Haveli and Daman and Diu,779.0,0.0,779.0
28/01/2021,Delhi,48008.0,0.0,48008.0
28/01/2021,Goa,2882.0,0.0,2882.0
28/01/2021,Gujarat,162616.0,0.0,162616.0
28/01/2021,Haryana,115968.0,0.0,115968.0
28/01/2021,Himachal Pradesh,18848.0,0.0,18848.0
28/01/2021,Jammu and Kashmir,22401.0,0.0,22401.0
28/01/2021,Jharkhand,24315.0,0.0,24315.0
28/01/2021,Karnataka,286089.0,0.0,286089.0
28/01/2021,Kerala,106583.0,0.0,106583.0
28/01/2021,Ladakh,818.0,0.0,818.0
28/01/2021,Lakshadweep,746.0,0.0,746.0
28/01/2021,Madhya Pradesh,195187.0,0.0,195187.0
28/01/2021,Maharashtra,220587.0,0.0,220587.0
28/01/2021,Manipur,2855.0,0.0,2855.0
28/01/2021,Meghalaya,3870.0,0.0,3870.0
28/01/2021,Mizoram,6728.0,0.0,6728.0
28/01/2021,Nagaland,3973.0,0.0,3973.0
28/01/2021,Odisha,194058.0,0.0,194058.0
28/01/2021,Puducherry,1813.0,0.0,1813.0
28/01/2021,Punjab,50977.0,0.0,50977.0
28/01/2021,Rajasthan,257833.0,0.0,257833.0
28/01/2021,Sikkim,1776.0,0.0,1776.0
28/01/2021,Tamil Nadu,88467.0,0.0,88467.0
28/01/2021,Telangana,151246.0,0.0,151246.0
28/01/2021,Tripura,24302.0,0.0,24302.0
28/01/2021,Uttar Pradesh,294959.0,0.0,294959.0
28/01/2021,Uttarakhand,19517.0,0.0,19517.0
28/01/2021,West Bengal,187485.0,0.0,187485.0
28/01/2021,Miscellaneous,48401.0,0.0,48401.0
28/01/2021,Total,2928053.0,0.0,2928053.0
29/01/2021,Andaman and Nicobar Islands,2727.0,0.0,2727.0
29/01/2021,Andhra Pradesh,179038.0,0.0,179038.0
29/01/2021,Arunachal Pradesh,9265.0,0.0,9265.0
29/01/2021,Assam,36932.0,0.0,36932.0
29/01/2021,Bihar,110396.0,0.0,110396.0
29/01/2021,Chandigarh,2977.0,0.0,2977.0
29/01/2021,Chhattisgarh,62529.0,0.0,62529.0
29/01/2021,Dadra and Nagar Haveli and Daman and Diu,940.0,0.0,940.0
29/01/2021,Delhi,48008.0,0.0,48008.0
29/01/2021,Goa,3391.0,0.0,3391.0
29/01/2021,Gujarat,221675.0,0.0,221675.0
29/01/2021,Haryana,123935.0,0.0,123935.0
