state,deaths,month,year,pc11_state_id
Andhra Pradesh,26785,11,2018,28
Andhra Pradesh,33203,11,2019,28
Andhra Pradesh,38674,11,2020,28
Andhra Pradesh,29896,12,2018,28
Andhra Pradesh,31145,12,2019,28
Andhra Pradesh,39498,12,2020,28
Chhattisgarh,44883,5,2021,22
Chhattisgarh,6963,9,2020,22
Chhattisgarh,3299,2,2020,22
Chhattisgarh,1471,8,2019,22
Chhattisgarh,10396,1,2021,22
Chhattisgarh,1518,9,2018,22
Chhattisgarh,1249,4,2018,22
Chhattisgarh,1243,12,2018,22
Chhattisgarh,1199,7,2018,22
Chhattisgarh,1148,1,2019,22
Chhattisgarh,1203,6,2019,22
Chhattisgarh,1231,6,2018,22
Chhattisgarh,1553,10,2019,22
Chhattisgarh,8907,10,2020,22
Chhattisgarh,1218,10,2018,22
Chhattisgarh,12878,3,2021,22
Chhattisgarh,1334,3,2018,22
Chhattisgarh,4827,7,2020,22
Chhattisgarh,1326,7,2019,22
Chhattisgarh,1191,2,2019,22
Chhattisgarh,1218,11,2018,22
Chhattisgarh,1101,3,2019,22
Chhattisgarh,8423,12,2020,22
Chhattisgarh,1547,1,2018,22
Chhattisgarh,1053,4,2019,22
Chhattisgarh,3953,5,2020,22
Chhattisgarh,1130,5,2019,22
Chhattisgarh,1466,12,2019,22
Chhattisgarh,1308,5,2018,22
Chhattisgarh,1598,11,2019,22
Chhattisgarh,3064,1,2020,22
Chhattisgarh,12416,2,2021,22
Chhattisgarh,4366,6,2020,22
Chhattisgarh,1364,2,2018,22
Chhattisgarh,26259,4,2021,22
Chhattisgarh,7330,11,2020,22
Chhattisgarh,1367,9,2019,22
Chhattisgarh,3228,3,2020,22
Chhattisgarh,3953,4,2020,22
Chhattisgarh,4924,8,2020,22
Chhattisgarh,1261,8,2018,22
Karnataka,35940,2,2017,29
Karnataka,33002,8,2015,29
Karnataka,36047,4,2018,29
Karnataka,32206,2,2016,29
Karnataka,36314,12,2016,29
Karnataka,32928,3,2015,29
Karnataka,32954,4,2019,29
Karnataka,32794,3,2020,29
Karnataka,51127,1,2018,29
Karnataka,42034,2,2020,29
Karnataka,39860,10,2018,29
Karnataka,37403,6,2019,29
Karnataka,36769,11,2016,29
Karnataka,34855,3,2016,29
Karnataka,35780,9,2016,29
Karnataka,46000,4,2021,29
Karnataka,41390,8,2017,29
Karnataka,44684,7,2019,29
Karnataka,40343,9,2018,29
Karnataka,43644,10,2017,29
Karnataka,39904,2,2018,29
Karnataka,44905,10,2019,29
Karnataka,34598,1,2016,29
Karnataka,40082,6,2018,29
Karnataka,42201,3,2018,29
Karnataka,42960,12,2017,29
Karnataka,41862,5,2019,29
Karnataka,47440,1,2020,29
Karnataka,45987,3,2021,29
Karnataka,31873,9,2015,29
Karnataka,39751,12,2018,29
Karnataka,39293,8,2016,29
Karnataka,41644,3,2019,29
Karnataka,19629,4,2020,29
Karnataka,32274,4,2016,29
Karnataka,35038,5,2018,29
Karnataka,43905,6,2020,29
Karnataka,33560,10,2016,29
Karnataka,34292,5,2016,29
Karnataka,39998,3,2017,29
Karnataka,38918,5,2017,29
Karnataka,77000,5,2021,29
Karnataka,45189,9,2019,29
Karnataka,37890,6,2017,29
Karnataka,35137,12,2015,29
Karnataka,41135,1,2017,29
Karnataka,39544,8,2018,29
Karnataka,29152,4,2015,29
Karnataka,33200,11,2015,29
Karnataka,67444,9,2020,29
Karnataka,36982,1,2015,29
Karnataka,48488,11,2019,29
Karnataka,33008,10,2015,29
Karnataka,35307,6,2016,29
Karnataka,43725,7,2020,29
Karnataka,59508,10,2020,29
Karnataka,43604,12,2020,29
Karnataka,31974,2,2015,29
Karnataka,33092,6,2015,29
Karnataka,42645,1,2019,29
Karnataka,58888,8,2020,29
Karnataka,38643,2,2019,29
Karnataka,40959,9,2017,29
Karnataka,45884,2,2021,29
Karnataka,44696,8,2019,29
Karnataka,39238,7,2017,29
Karnataka,53335,11,2020,29
Karnataka,44189,11,2017,29
Karnataka,39502,5,2020,29
Karnataka,45471,12,2019,29
Karnataka,30338,5,2015,29
Karnataka,35486,4,2017,29
Karnataka,33045,7,2015,29
Karnataka,50319,1,2021,29
Karnataka,39085,7,2018,29
Karnataka,35526,7,2016,29
Karnataka,40529,11,2018,29
Kerala,21075,10,2018,32
Kerala,19892,2,2019,32
Kerala,19581,3,2020,32
Kerala,25475,8,2019,32
Kerala,19552,10,2015,32
Kerala,17680,5,2020,32
Kerala,20435,6,2018,32
Kerala,21681,12,2018,32
Kerala,20326,1,2017,32
Kerala,22005,10,2019,32
